# The Urban Flows Observatory @ Sheffield (SUFO)
# Filters/Options used in this retrieval
#    Extract/show every data point available
#    Filter by Selected: TRAFF_FLOW,TRAFF_OCCUP
#    addTimeFull
#    Examine raw instrument data
#    Show one table per sensor/site
#    Data with QC issues shown with values
#        No-values = -32768
#        Values Below range = -32769
#        Values Above range = -32767
#    Filter by Sites: [SCC]1PAD1,[SCC]1PBD1
#    Filter by Time From: 2023-02-06T00:00:00 To: 2023-02-27T00:00:00
# Number of tables shown: 4


# Table for [SCC]1PAD1.[SCC]1PAD1|SCC_flow|flows
flows.time,TIME_YEAR,TIME_MONTH,TIME_DAY,TIME_DOW,TIME_DOY,TIME_HOURS,TIME_MINUTES,TIME_SECONDS,flows.sensor,flows.flow
1675642087,2023,2,6,Mo,37,0,8,7,[SCC]1PAD1,1.6
1675642387,2023,2,6,Mo,37,0,13,7,[SCC]1PAD1,1.6
1675642687,2023,2,6,Mo,37,0,18,7,[SCC]1PAD1,2.4
1675642987,2023,2,6,Mo,37,0,23,7,[SCC]1PAD1,2.4
1675643287,2023,2,6,Mo,37,0,28,7,[SCC]1PAD1,0.8
1675643587,2023,2,6,Mo,37,0,33,7,[SCC]1PAD1,1.6
1675643887,2023,2,6,Mo,37,0,38,7,[SCC]1PAD1,0.8
1675644187,2023,2,6,Mo,37,0,43,7,[SCC]1PAD1,0.8
1675644487,2023,2,6,Mo,37,0,48,7,[SCC]1PAD1,2.4
1675644787,2023,2,6,Mo,37,0,53,7,[SCC]1PAD1,0.0
1675645088,2023,2,6,Mo,37,0,58,8,[SCC]1PAD1,1.6
1675645387,2023,2,6,Mo,37,1,3,7,[SCC]1PAD1,1.6
1675645687,2023,2,6,Mo,37,1,8,7,[SCC]1PAD1,0.8
1675645987,2023,2,6,Mo,37,1,13,7,[SCC]1PAD1,0.0
1675646287,2023,2,6,Mo,37,1,18,7,[SCC]1PAD1,0.8
1675646587,2023,2,6,Mo,37,1,23,7,[SCC]1PAD1,0.8
1675646887,2023,2,6,Mo,37,1,28,7,[SCC]1PAD1,0.8
1675647187,2023,2,6,Mo,37,1,33,7,[SCC]1PAD1,1.6
1675647487,2023,2,6,Mo,37,1,38,7,[SCC]1PAD1,0.8
1675647787,2023,2,6,Mo,37,1,43,7,[SCC]1PAD1,0.8
1675648087,2023,2,6,Mo,37,1,48,7,[SCC]1PAD1,0.8
1675648387,2023,2,6,Mo,37,1,53,7,[SCC]1PAD1,1.6
1675648688,2023,2,6,Mo,37,1,58,8,[SCC]1PAD1,1.6
1675648987,2023,2,6,Mo,37,2,3,7,[SCC]1PAD1,0.8
1675649287,2023,2,6,Mo,37,2,8,7,[SCC]1PAD1,0.8
1675649587,2023,2,6,Mo,37,2,13,7,[SCC]1PAD1,0.8
1675649887,2023,2,6,Mo,37,2,18,7,[SCC]1PAD1,1.6
1675650187,2023,2,6,Mo,37,2,23,7,[SCC]1PAD1,0.8
1675650487,2023,2,6,Mo,37,2,28,7,[SCC]1PAD1,0.8
1675650787,2023,2,6,Mo,37,2,33,7,[SCC]1PAD1,0.8
1675651087,2023,2,6,Mo,37,2,38,7,[SCC]1PAD1,0.8
1675651387,2023,2,6,Mo,37,2,43,7,[SCC]1PAD1,0.8
1675651687,2023,2,6,Mo,37,2,48,7,[SCC]1PAD1,0.8
1675651987,2023,2,6,Mo,37,2,53,7,[SCC]1PAD1,1.6
1675652288,2023,2,6,Mo,37,2,58,8,[SCC]1PAD1,0.8
1675652587,2023,2,6,Mo,37,3,3,7,[SCC]1PAD1,0.8
1675652887,2023,2,6,Mo,37,3,8,7,[SCC]1PAD1,0.8
1675653187,2023,2,6,Mo,37,3,13,7,[SCC]1PAD1,1.6
1675653487,2023,2,6,Mo,37,3,18,7,[SCC]1PAD1,0.8
1675653787,2023,2,6,Mo,37,3,23,7,[SCC]1PAD1,1.6
1675654087,2023,2,6,Mo,37,3,28,7,[SCC]1PAD1,1.6
1675654387,2023,2,6,Mo,37,3,33,7,[SCC]1PAD1,1.6
1675654687,2023,2,6,Mo,37,3,38,7,[SCC]1PAD1,0.8
1675654987,2023,2,6,Mo,37,3,43,7,[SCC]1PAD1,0.8
1675655287,2023,2,6,Mo,37,3,48,7,[SCC]1PAD1,1.6
1675655587,2023,2,6,Mo,37,3,53,7,[SCC]1PAD1,0.8
1675655888,2023,2,6,Mo,37,3,58,8,[SCC]1PAD1,1.6
1675656187,2023,2,6,Mo,37,4,3,7,[SCC]1PAD1,0.8
1675656487,2023,2,6,Mo,37,4,8,7,[SCC]1PAD1,0.8
1675656787,2023,2,6,Mo,37,4,13,7,[SCC]1PAD1,0.8
1675657087,2023,2,6,Mo,37,4,18,7,[SCC]1PAD1,1.6
1675657387,2023,2,6,Mo,37,4,23,7,[SCC]1PAD1,0.8
1675657687,2023,2,6,Mo,37,4,28,7,[SCC]1PAD1,1.6
1675657987,2023,2,6,Mo,37,4,33,7,[SCC]1PAD1,1.6
1675658288,2023,2,6,Mo,37,4,38,8,[SCC]1PAD1,2.4
1675658588,2023,2,6,Mo,37,4,43,8,[SCC]1PAD1,1.6
1675658887,2023,2,6,Mo,37,4,48,7,[SCC]1PAD1,3.2
1675659188,2023,2,6,Mo,37,4,53,8,[SCC]1PAD1,3.2
1675659488,2023,2,6,Mo,37,4,58,8,[SCC]1PAD1,2.4
1675659787,2023,2,6,Mo,37,5,3,7,[SCC]1PAD1,3.2
1675660087,2023,2,6,Mo,37,5,8,7,[SCC]1PAD1,4.0
1675660388,2023,2,6,Mo,37,5,13,8,[SCC]1PAD1,5.6
1675660687,2023,2,6,Mo,37,5,18,7,[SCC]1PAD1,5.6
1675660987,2023,2,6,Mo,37,5,23,7,[SCC]1PAD1,4.8
1675661288,2023,2,6,Mo,37,5,28,8,[SCC]1PAD1,7.2
1675661587,2023,2,6,Mo,37,5,33,7,[SCC]1PAD1,8.8
1675661887,2023,2,6,Mo,37,5,38,7,[SCC]1PAD1,10.4
1675662188,2023,2,6,Mo,37,5,43,8,[SCC]1PAD1,12.0
1675662487,2023,2,6,Mo,37,5,48,7,[SCC]1PAD1,12.0
1675662787,2023,2,6,Mo,37,5,53,7,[SCC]1PAD1,13.6
1675663089,2023,2,6,Mo,37,5,58,9,[SCC]1PAD1,12.8
1675663387,2023,2,6,Mo,37,6,3,7,[SCC]1PAD1,10.4
1675663688,2023,2,6,Mo,37,6,8,8,[SCC]1PAD1,10.4
1675663987,2023,2,6,Mo,37,6,13,7,[SCC]1PAD1,14.4
1675664287,2023,2,6,Mo,37,6,18,7,[SCC]1PAD1,12.8
1675664587,2023,2,6,Mo,37,6,23,7,[SCC]1PAD1,11.2
1675664887,2023,2,6,Mo,37,6,28,7,[SCC]1PAD1,8.8
1675665187,2023,2,6,Mo,37,6,33,7,[SCC]1PAD1,12.8
1675665487,2023,2,6,Mo,37,6,38,7,[SCC]1PAD1,20.8
1675665787,2023,2,6,Mo,37,6,43,7,[SCC]1PAD1,22.4
1675666087,2023,2,6,Mo,37,6,48,7,[SCC]1PAD1,23.2
1675666387,2023,2,6,Mo,37,6,53,7,[SCC]1PAD1,19.2
1675666689,2023,2,6,Mo,37,6,58,9,[SCC]1PAD1,22.4
1675666987,2023,2,6,Mo,37,7,3,7,[SCC]1PAD1,21.6
1675667287,2023,2,6,Mo,37,7,8,7,[SCC]1PAD1,28.0
1675667587,2023,2,6,Mo,37,7,13,7,[SCC]1PAD1,27.2
1675667887,2023,2,6,Mo,37,7,18,7,[SCC]1PAD1,28.8
1675668187,2023,2,6,Mo,37,7,23,7,[SCC]1PAD1,32.0
1675668488,2023,2,6,Mo,37,7,28,8,[SCC]1PAD1,37.6
1675668787,2023,2,6,Mo,37,7,33,7,[SCC]1PAD1,31.2
1675669087,2023,2,6,Mo,37,7,38,7,[SCC]1PAD1,34.4
1675669387,2023,2,6,Mo,37,7,43,7,[SCC]1PAD1,35.2
1675669687,2023,2,6,Mo,37,7,48,7,[SCC]1PAD1,36.0
1675669987,2023,2,6,Mo,37,7,53,7,[SCC]1PAD1,34.4
1675670288,2023,2,6,Mo,37,7,58,8,[SCC]1PAD1,34.4
1675670588,2023,2,6,Mo,37,8,3,8,[SCC]1PAD1,36.0
1675670888,2023,2,6,Mo,37,8,8,8,[SCC]1PAD1,30.4
1675671187,2023,2,6,Mo,37,8,13,7,[SCC]1PAD1,32.0
1675671488,2023,2,6,Mo,37,8,18,8,[SCC]1PAD1,36.0
1675671788,2023,2,6,Mo,37,8,23,8,[SCC]1PAD1,30.4
1675672088,2023,2,6,Mo,37,8,28,8,[SCC]1PAD1,30.4
1675672387,2023,2,6,Mo,37,8,33,7,[SCC]1PAD1,34.4
1675672687,2023,2,6,Mo,37,8,38,7,[SCC]1PAD1,28.0
1675672988,2023,2,6,Mo,37,8,43,8,[SCC]1PAD1,34.4
1675673288,2023,2,6,Mo,37,8,48,8,[SCC]1PAD1,28.8
1675673587,2023,2,6,Mo,37,8,53,7,[SCC]1PAD1,27.2
1675673888,2023,2,6,Mo,37,8,58,8,[SCC]1PAD1,27.2
1675674188,2023,2,6,Mo,37,9,3,8,[SCC]1PAD1,27.2
1675674488,2023,2,6,Mo,37,9,8,8,[SCC]1PAD1,26.4
1675674787,2023,2,6,Mo,37,9,13,7,[SCC]1PAD1,28.0
1675675087,2023,2,6,Mo,37,9,18,7,[SCC]1PAD1,26.4
1675675387,2023,2,6,Mo,37,9,23,7,[SCC]1PAD1,27.2
1675675688,2023,2,6,Mo,37,9,28,8,[SCC]1PAD1,27.2
1675675988,2023,2,6,Mo,37,9,33,8,[SCC]1PAD1,24.8
1675676288,2023,2,6,Mo,37,9,38,8,[SCC]1PAD1,25.6
1675676588,2023,2,6,Mo,37,9,43,8,[SCC]1PAD1,22.4
1675676888,2023,2,6,Mo,37,9,48,8,[SCC]1PAD1,25.6
1675677188,2023,2,6,Mo,37,9,53,8,[SCC]1PAD1,26.4
1675677489,2023,2,6,Mo,37,9,58,9,[SCC]1PAD1,23.2
1675677788,2023,2,6,Mo,37,10,3,8,[SCC]1PAD1,21.6
1675678088,2023,2,6,Mo,37,10,8,8,[SCC]1PAD1,23.2
1675678388,2023,2,6,Mo,37,10,13,8,[SCC]1PAD1,22.4
1675678688,2023,2,6,Mo,37,10,18,8,[SCC]1PAD1,16.0
1675678988,2023,2,6,Mo,37,10,23,8,[SCC]1PAD1,18.4
1675679288,2023,2,6,Mo,37,10,28,8,[SCC]1PAD1,23.2
1675679588,2023,2,6,Mo,37,10,33,8,[SCC]1PAD1,20.8
1675679888,2023,2,6,Mo,37,10,38,8,[SCC]1PAD1,21.6
1675680188,2023,2,6,Mo,37,10,43,8,[SCC]1PAD1,17.6
1675680488,2023,2,6,Mo,37,10,48,8,[SCC]1PAD1,25.6
1675680788,2023,2,6,Mo,37,10,53,8,[SCC]1PAD1,19.2
1675681088,2023,2,6,Mo,37,10,58,8,[SCC]1PAD1,20.8
1675681388,2023,2,6,Mo,37,11,3,8,[SCC]1PAD1,24.0
1675681687,2023,2,6,Mo,37,11,8,7,[SCC]1PAD1,19.2
1675681987,2023,2,6,Mo,37,11,13,7,[SCC]1PAD1,20.8
1675682287,2023,2,6,Mo,37,11,18,7,[SCC]1PAD1,19.2
1675682587,2023,2,6,Mo,37,11,23,7,[SCC]1PAD1,18.4
1675682887,2023,2,6,Mo,37,11,28,7,[SCC]1PAD1,19.2
1675683187,2023,2,6,Mo,37,11,33,7,[SCC]1PAD1,16.8
1675683487,2023,2,6,Mo,37,11,38,7,[SCC]1PAD1,21.6
1675683787,2023,2,6,Mo,37,11,43,7,[SCC]1PAD1,20.0
1675684087,2023,2,6,Mo,37,11,48,7,[SCC]1PAD1,21.6
1675684387,2023,2,6,Mo,37,11,53,7,[SCC]1PAD1,23.2
1675684688,2023,2,6,Mo,37,11,58,8,[SCC]1PAD1,17.6
1675684987,2023,2,6,Mo,37,12,3,7,[SCC]1PAD1,15.2
1675685287,2023,2,6,Mo,37,12,8,7,[SCC]1PAD1,19.2
1675685587,2023,2,6,Mo,37,12,13,7,[SCC]1PAD1,20.8
1675685887,2023,2,6,Mo,37,12,18,7,[SCC]1PAD1,21.6
1675686187,2023,2,6,Mo,37,12,23,7,[SCC]1PAD1,19.2
1675686489,2023,2,6,Mo,37,12,28,9,[SCC]1PAD1,22.4
1675686788,2023,2,6,Mo,37,12,33,8,[SCC]1PAD1,23.2
1675687087,2023,2,6,Mo,37,12,38,7,[SCC]1PAD1,20.0
1675687387,2023,2,6,Mo,37,12,43,7,[SCC]1PAD1,22.4
1675687687,2023,2,6,Mo,37,12,48,7,[SCC]1PAD1,22.4
1675687987,2023,2,6,Mo,37,12,53,7,[SCC]1PAD1,20.0
1675688288,2023,2,6,Mo,37,12,58,8,[SCC]1PAD1,20.8
1675688587,2023,2,6,Mo,37,13,3,7,[SCC]1PAD1,20.0
1675688887,2023,2,6,Mo,37,13,8,7,[SCC]1PAD1,19.2
1675689187,2023,2,6,Mo,37,13,13,7,[SCC]1PAD1,24.8
1675689488,2023,2,6,Mo,37,13,18,8,[SCC]1PAD1,20.0
1675689788,2023,2,6,Mo,37,13,23,8,[SCC]1PAD1,16.0
1675690088,2023,2,6,Mo,37,13,28,8,[SCC]1PAD1,20.0
1675690387,2023,2,6,Mo,37,13,33,7,[SCC]1PAD1,20.8
1675690688,2023,2,6,Mo,37,13,38,8,[SCC]1PAD1,20.8
1675690988,2023,2,6,Mo,37,13,43,8,[SCC]1PAD1,21.6
1675691288,2023,2,6,Mo,37,13,48,8,[SCC]1PAD1,21.6
1675691588,2023,2,6,Mo,37,13,53,8,[SCC]1PAD1,18.4
1675691888,2023,2,6,Mo,37,13,58,8,[SCC]1PAD1,20.8
1675692187,2023,2,6,Mo,37,14,3,7,[SCC]1PAD1,20.8
1675692488,2023,2,6,Mo,37,14,8,8,[SCC]1PAD1,20.8
1675692787,2023,2,6,Mo,37,14,13,7,[SCC]1PAD1,22.4
1675693088,2023,2,6,Mo,37,14,18,8,[SCC]1PAD1,18.4
1675693387,2023,2,6,Mo,37,14,23,7,[SCC]1PAD1,16.8
1675693687,2023,2,6,Mo,37,14,28,7,[SCC]1PAD1,22.4
1675693987,2023,2,6,Mo,37,14,33,7,[SCC]1PAD1,16.0
1675694288,2023,2,6,Mo,37,14,38,8,[SCC]1PAD1,16.8
1675694587,2023,2,6,Mo,37,14,43,7,[SCC]1PAD1,21.6
1675694888,2023,2,6,Mo,37,14,48,8,[SCC]1PAD1,24.0
1675695187,2023,2,6,Mo,37,14,53,7,[SCC]1PAD1,21.6
1675695490,2023,2,6,Mo,37,14,58,10,[SCC]1PAD1,17.6
1675695788,2023,2,6,Mo,37,15,3,8,[SCC]1PAD1,20.0
1675696087,2023,2,6,Mo,37,15,8,7,[SCC]1PAD1,19.2
1675696388,2023,2,6,Mo,37,15,13,8,[SCC]1PAD1,24.0
1675696687,2023,2,6,Mo,37,15,18,7,[SCC]1PAD1,22.4
1675696988,2023,2,6,Mo,37,15,23,8,[SCC]1PAD1,23.2
1675697288,2023,2,6,Mo,37,15,28,8,[SCC]1PAD1,21.6
1675697587,2023,2,6,Mo,37,15,33,7,[SCC]1PAD1,22.4
1675697887,2023,2,6,Mo,37,15,38,7,[SCC]1PAD1,20.0
1675698188,2023,2,6,Mo,37,15,43,8,[SCC]1PAD1,24.8
1675698487,2023,2,6,Mo,37,15,48,7,[SCC]1PAD1,21.6
1675698787,2023,2,6,Mo,37,15,53,7,[SCC]1PAD1,22.4
1675699090,2023,2,6,Mo,37,15,58,10,[SCC]1PAD1,24.8
1675699388,2023,2,6,Mo,37,16,3,8,[SCC]1PAD1,19.2
1675699687,2023,2,6,Mo,37,16,8,7,[SCC]1PAD1,27.2
1675699988,2023,2,6,Mo,37,16,13,8,[SCC]1PAD1,24.8
1675700288,2023,2,6,Mo,37,16,18,8,[SCC]1PAD1,25.6
1675700587,2023,2,6,Mo,37,16,23,7,[SCC]1PAD1,28.0
1675700887,2023,2,6,Mo,37,16,28,7,[SCC]1PAD1,23.2
1675701188,2023,2,6,Mo,37,16,33,8,[SCC]1PAD1,25.6
1675701488,2023,2,6,Mo,37,16,38,8,[SCC]1PAD1,25.6
1675701787,2023,2,6,Mo,37,16,43,7,[SCC]1PAD1,28.8
1675702087,2023,2,6,Mo,37,16,48,7,[SCC]1PAD1,20.8
1675702387,2023,2,6,Mo,37,16,53,7,[SCC]1PAD1,23.2
1675702688,2023,2,6,Mo,37,16,58,8,[SCC]1PAD1,22.4
1675702988,2023,2,6,Mo,37,17,3,8,[SCC]1PAD1,19.2
1675703287,2023,2,6,Mo,37,17,8,7,[SCC]1PAD1,24.0
1675703587,2023,2,6,Mo,37,17,13,7,[SCC]1PAD1,24.0
1675703888,2023,2,6,Mo,37,17,18,8,[SCC]1PAD1,22.4
1675704187,2023,2,6,Mo,37,17,23,7,[SCC]1PAD1,19.2
1675704488,2023,2,6,Mo,37,17,28,8,[SCC]1PAD1,20.8
1675704787,2023,2,6,Mo,37,17,33,7,[SCC]1PAD1,18.4
1675705088,2023,2,6,Mo,37,17,38,8,[SCC]1PAD1,16.8
1675705387,2023,2,6,Mo,37,17,43,7,[SCC]1PAD1,20.0
1675705689,2023,2,6,Mo,37,17,48,9,[SCC]1PAD1,23.2
1675705987,2023,2,6,Mo,37,17,53,7,[SCC]1PAD1,20.8
1675706288,2023,2,6,Mo,37,17,58,8,[SCC]1PAD1,16.8
1675706588,2023,2,6,Mo,37,18,3,8,[SCC]1PAD1,21.6
1675706887,2023,2,6,Mo,37,18,8,7,[SCC]1PAD1,22.4
1675707187,2023,2,6,Mo,37,18,13,7,[SCC]1PAD1,20.8
1675707487,2023,2,6,Mo,37,18,18,7,[SCC]1PAD1,20.0
1675707787,2023,2,6,Mo,37,18,23,7,[SCC]1PAD1,17.6
1675708088,2023,2,6,Mo,37,18,28,8,[SCC]1PAD1,16.0
1675708387,2023,2,6,Mo,37,18,33,7,[SCC]1PAD1,19.2
1675708687,2023,2,6,Mo,37,18,38,7,[SCC]1PAD1,17.6
1675708987,2023,2,6,Mo,37,18,43,7,[SCC]1PAD1,16.8
1675709287,2023,2,6,Mo,37,18,48,7,[SCC]1PAD1,15.2
1675709587,2023,2,6,Mo,37,18,53,7,[SCC]1PAD1,18.4
1675709889,2023,2,6,Mo,37,18,58,9,[SCC]1PAD1,14.4
1675710187,2023,2,6,Mo,37,19,3,7,[SCC]1PAD1,17.6
1675710487,2023,2,6,Mo,37,19,8,7,[SCC]1PAD1,15.2
1675710787,2023,2,6,Mo,37,19,13,7,[SCC]1PAD1,15.2
1675711087,2023,2,6,Mo,37,19,18,7,[SCC]1PAD1,13.6
1675711387,2023,2,6,Mo,37,19,23,7,[SCC]1PAD1,15.2
1675711687,2023,2,6,Mo,37,19,28,7,[SCC]1PAD1,12.0
1675711987,2023,2,6,Mo,37,19,33,7,[SCC]1PAD1,8.8
1675712287,2023,2,6,Mo,37,19,38,7,[SCC]1PAD1,10.4
1675712587,2023,2,6,Mo,37,19,43,7,[SCC]1PAD1,12.8
1675712887,2023,2,6,Mo,37,19,48,7,[SCC]1PAD1,13.6
1675713187,2023,2,6,Mo,37,19,53,7,[SCC]1PAD1,8.8
1675713488,2023,2,6,Mo,37,19,58,8,[SCC]1PAD1,9.6
1675713787,2023,2,6,Mo,37,20,3,7,[SCC]1PAD1,8.8
1675714087,2023,2,6,Mo,37,20,8,7,[SCC]1PAD1,15.2
1675714387,2023,2,6,Mo,37,20,13,7,[SCC]1PAD1,12.8
1675714687,2023,2,6,Mo,37,20,18,7,[SCC]1PAD1,11.2
1675714987,2023,2,6,Mo,37,20,23,7,[SCC]1PAD1,7.2
1675715287,2023,2,6,Mo,37,20,28,7,[SCC]1PAD1,8.0
1675715587,2023,2,6,Mo,37,20,33,7,[SCC]1PAD1,7.2
1675715887,2023,2,6,Mo,37,20,38,7,[SCC]1PAD1,7.2
1675716187,2023,2,6,Mo,37,20,43,7,[SCC]1PAD1,8.0
1675716487,2023,2,6,Mo,37,20,48,7,[SCC]1PAD1,8.8
1675716787,2023,2,6,Mo,37,20,53,7,[SCC]1PAD1,7.2
1675717088,2023,2,6,Mo,37,20,58,8,[SCC]1PAD1,6.4
1675717387,2023,2,6,Mo,37,21,3,7,[SCC]1PAD1,8.8
1675717687,2023,2,6,Mo,37,21,8,7,[SCC]1PAD1,5.6
1675717987,2023,2,6,Mo,37,21,13,7,[SCC]1PAD1,8.0
1675718287,2023,2,6,Mo,37,21,18,7,[SCC]1PAD1,11.2
1675718587,2023,2,6,Mo,37,21,23,7,[SCC]1PAD1,7.2
1675718887,2023,2,6,Mo,37,21,28,7,[SCC]1PAD1,4.8
1675719187,2023,2,6,Mo,37,21,33,7,[SCC]1PAD1,7.2
1675719487,2023,2,6,Mo,37,21,38,7,[SCC]1PAD1,5.6
1675719787,2023,2,6,Mo,37,21,43,7,[SCC]1PAD1,8.0
1675720087,2023,2,6,Mo,37,21,48,7,[SCC]1PAD1,6.4
1675720387,2023,2,6,Mo,37,21,53,7,[SCC]1PAD1,6.4
1675720688,2023,2,6,Mo,37,21,58,8,[SCC]1PAD1,7.2
1675720987,2023,2,6,Mo,37,22,3,7,[SCC]1PAD1,4.8
1675721287,2023,2,6,Mo,37,22,8,7,[SCC]1PAD1,7.2
1675721587,2023,2,6,Mo,37,22,13,7,[SCC]1PAD1,3.2
1675721887,2023,2,6,Mo,37,22,18,7,[SCC]1PAD1,6.4
1675722187,2023,2,6,Mo,37,22,23,7,[SCC]1PAD1,4.0
1675722487,2023,2,6,Mo,37,22,28,7,[SCC]1PAD1,8.0
1675722787,2023,2,6,Mo,37,22,33,7,[SCC]1PAD1,3.2
1675723087,2023,2,6,Mo,37,22,38,7,[SCC]1PAD1,4.8
1675723387,2023,2,6,Mo,37,22,43,7,[SCC]1PAD1,3.2
1675723687,2023,2,6,Mo,37,22,48,7,[SCC]1PAD1,3.2
1675723987,2023,2,6,Mo,37,22,53,7,[SCC]1PAD1,2.4
1675724288,2023,2,6,Mo,37,22,58,8,[SCC]1PAD1,3.2
1675724587,2023,2,6,Mo,37,23,3,7,[SCC]1PAD1,2.4
1675724887,2023,2,6,Mo,37,23,8,7,[SCC]1PAD1,4.0
1675725188,2023,2,6,Mo,37,23,13,8,[SCC]1PAD1,1.6
1675725487,2023,2,6,Mo,37,23,18,7,[SCC]1PAD1,1.6
1675725787,2023,2,6,Mo,37,23,23,7,[SCC]1PAD1,3.2
1675726087,2023,2,6,Mo,37,23,28,7,[SCC]1PAD1,4.0
1675726387,2023,2,6,Mo,37,23,33,7,[SCC]1PAD1,0.0
1675726687,2023,2,6,Mo,37,23,38,7,[SCC]1PAD1,2.4
1675728487,2023,2,7,Tu,38,0,8,7,[SCC]1PAD1,3.2
1675728787,2023,2,7,Tu,38,0,13,7,[SCC]1PAD1,1.6
1675729087,2023,2,7,Tu,38,0,18,7,[SCC]1PAD1,0.8
1675729387,2023,2,7,Tu,38,0,23,7,[SCC]1PAD1,1.6
1675729687,2023,2,7,Tu,38,0,28,7,[SCC]1PAD1,3.2
1675729987,2023,2,7,Tu,38,0,33,7,[SCC]1PAD1,1.6
1675730287,2023,2,7,Tu,38,0,38,7,[SCC]1PAD1,1.6
1675730587,2023,2,7,Tu,38,0,43,7,[SCC]1PAD1,0.8
1675730887,2023,2,7,Tu,38,0,48,7,[SCC]1PAD1,0.8
1675731187,2023,2,7,Tu,38,0,53,7,[SCC]1PAD1,0.8
1675731487,2023,2,7,Tu,38,0,58,7,[SCC]1PAD1,1.6
1675731787,2023,2,7,Tu,38,1,3,7,[SCC]1PAD1,1.6
1675732087,2023,2,7,Tu,38,1,8,7,[SCC]1PAD1,0.8
1675732387,2023,2,7,Tu,38,1,13,7,[SCC]1PAD1,0.8
1675732687,2023,2,7,Tu,38,1,18,7,[SCC]1PAD1,1.6
1675732987,2023,2,7,Tu,38,1,23,7,[SCC]1PAD1,0.8
1675733287,2023,2,7,Tu,38,1,28,7,[SCC]1PAD1,1.6
1675733587,2023,2,7,Tu,38,1,33,7,[SCC]1PAD1,0.0
1675733887,2023,2,7,Tu,38,1,38,7,[SCC]1PAD1,0.8
1675734187,2023,2,7,Tu,38,1,43,7,[SCC]1PAD1,0.0
1675734487,2023,2,7,Tu,38,1,48,7,[SCC]1PAD1,0.0
1675734787,2023,2,7,Tu,38,1,53,7,[SCC]1PAD1,0.8
1675735087,2023,2,7,Tu,38,1,58,7,[SCC]1PAD1,0.8
1675735387,2023,2,7,Tu,38,2,3,7,[SCC]1PAD1,0.8
1675735687,2023,2,7,Tu,38,2,8,7,[SCC]1PAD1,2.4
1675735987,2023,2,7,Tu,38,2,13,7,[SCC]1PAD1,0.8
1675736287,2023,2,7,Tu,38,2,18,7,[SCC]1PAD1,0.8
1675736587,2023,2,7,Tu,38,2,23,7,[SCC]1PAD1,0.8
